rank,range,time_percent,total_time_ns,instances,avg_ns,median_ns
1,:kiln/gdn/gates,12.8,574050739,2304,249154.0,239925.5
2,:kiln/gdn/gated_norm,12.1,542993630,2304,235674.3,225955.5
3,:kiln/gdn/qk_norm,10.0,449794466,2304,195223.3,184586.0
4,:kiln/attn/rope,7.7,346976410,842,412086.0,392646.0
5,:kiln/gdn/in_proj,7.7,346425707,2304,150358.4,70165.0
6,:kiln/mlp/gate,4.4,195037843,3146,61995.5,58375.5
7,:kiln/mlp/up,4.2,189643893,3146,60281.0,57270.0
8,:kiln/mlp/down,4.1,185020512,3146,58811.4,54875.0
9,:kiln/attn/full/prefill,3.1,139278149,592,235267.1,222210.5
10,:kiln/attn/gdn/chunk_prep,3.0,134535469,1800,74741.9,66005.0
