Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
19.8,582077008,2080,279844.7,256584.5,235690,5675643,166327.2,kiln/norm/pre_mlp
19.7,580948582,2080,279302.2,250034.0,232629,12385202,291887.4,kiln/norm/pre_attn
10.5,310316036,4160,74595.2,26200.0,21709,2464062,103013.6,kiln/residual
9.7,284837692,2080,136941.2,131134.5,120169,2867981,72617.7,kiln/mlp/gate
8.9,261565835,2080,125752.8,121374.0,114020,830438,31795.6,kiln/mlp/up
8.0,235392933,2080,113169.7,108830.0,101820,1124196,35766.2,kiln/mlp/down
4.9,142951653,65,2199256.2,2101413.0,2082243,5950282,488737.1,kiln/lm_head
4.8,141799620,512,276952.4,255804.0,243820,2522763,122900.4,kiln/attn/full/decode_fused
3.9,113434747,520,218143.7,30680.0,27780,14009847,1488848.6,kiln/kv/copy
3.6,105577160,520,203033.0,188219.5,180339,3081571,131676.8,kiln/proj/qkv
2.6,75896493,1536,49411.8,46380.0,43370,938457,26067.2,kiln/attn/gdn/recurrent
1.6,46780356,8,5847544.5,772227.5,746627,41394823,14363277.7,kiln/attn/full/prefill
1.4,41740768,520,80270.7,75139.5,71110,488298,27560.3,kiln/proj/o
0.6,17118641,192,89159.6,80259.0,71079,1605035,110393.4,kiln/attn/gdn/chunk
0.2,4806809,1536,3129.4,2520.0,1650,122310,3805.3,kiln/attn/gdn/precopy
