Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
18.0,3631320726,17704,205113.0,200910.0,185750,1083839,22681.3,PushPop,:kiln/gdn/gates
17.5,3544475754,17704,200207.6,194720.0,180490,1178999,37925.0,PushPop,:kiln/gdn/gated_norm
14.9,3013910747,17703,170248.6,166400.0,154600,1702529,22124.6,PushPop,:kiln/gdn/qk_norm
7.4,1496690740,17703,84544.5,82580.0,76930,1104830,16101.9,PushPop,:kiln/gdn/in_proj
6.3,1282811588,23604,54347.2,52600.0,48730,405829,12402.4,PushPop,:kiln/mlp/gate
6.2,1261955035,23604,53463.6,51790.0,47940,660279,12177.6,PushPop,:kiln/mlp/up
5.9,1196500456,23604,50690.6,49260.0,44960,483870,9668.1,PushPop,:kiln/mlp/down
3.8,761571093,17703,43019.3,42060.0,32220,419219,7231.9,PushPop,:kiln/gdn/head_expand
3.4,689965134,47209,14615.1,14330.0,11070,550570,5346.5,PushPop,:kiln/residual
3.0,616270741,5901,104435.0,101810.0,85240,479479,14338.6,PushPop,:kiln/proj/qkv
2.9,581036533,17704,32819.5,31960.0,20740,1371679,13515.9,PushPop,:kiln/gdn/out_proj
2.1,427311649,23604,18103.4,17580.0,15750,360259,5402.0,PushPop,:kiln/norm/pre_mlp
1.9,378700832,23604,16043.9,15440.0,13750,228819,4428.8,PushPop,:kiln/norm/pre_attn
1.8,367166880,17560,20909.3,20300.0,18240,357469,6974.8,PushPop,:kiln/attn/gdn/recurrent
1.8,363462600,17703,20531.1,17830.0,16330,919939,24677.1,PushPop,:kiln/gdn/conv
0.9,175605319,5901,29758.6,29190.0,20570,222790,4210.5,PushPop,:kiln/proj/o
0.8,166263617,17704,9391.3,9070.0,8090,297770,3657.5,PushPop,:kiln/gdn/recur_prep
0.6,124157398,1152,107775.5,58094.5,52890,535749,94439.3,PushPop,:kiln/attn/gdn/chunk_prep
0.2,37628317,17703,2125.5,1580.0,1180,77240,4639.7,PushPop,:kiln/gdn/qkv_split
0.2,36026037,737,48882.0,46690.0,39970,423520,18694.1,PushPop,:kiln/lm_head
0.2,33741187,1152,29289.2,14800.0,13460,139140,31611.1,PushPop,:kiln/attn/gdn/chunk
0.2,30724244,17560,1749.7,1560.0,820,27890,974.7,PushPop,:kiln/attn/gdn/precopy
0.1,11792643,17704,666.1,540.0,230,19680,770.2,PushPop,:kiln/gdn/post_transpose

